position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,Ghibli Museum,"1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo 181-0013, Japan",https://www.ghibli-museum.jp/,,,4.5,16155,,https://lh5.googleusercontent.com/p/AF1QipN5Vr_wybhlBLhbpuu-7BDzVWRdHMCl1iEpNwFz=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""10 AM–6 PM""
}",ChIJLYwD5TTuGGARBZKEP5BV4U0,0x6018ee34e5038c2d:0x4de155903f849205,5611860688709652997,"{
  ""latitude"": 35.696238,
  ""longitude"": 139.5704317
}"
2,Suginami Animation Museum,"杉並会館, 3 Chome-29-5 Kamiogi, Suginami City, Tokyo 167-0043, Japan",http://sam.or.jp/,+81 3-3396-1510,,4.2,909,,https://lh5.googleusercontent.com/p/AF1QipOB_fY9AYskkScWZ9cIN-qrDfXWWtkValC0eGOv=w122-h92-k-no,TRUE,Museum,"[
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJHcI_OQruGGARM2ZKib1iU8s,0x6018ee0a393fc21d:0xcb5362bd894a6633,14651162578958050867,"{
  ""latitude"": 35.7105716,
  ""longitude"": 139.60779399999998
}"
3,Suginami Historical Museum,"1 Chome-20-8 Omiya, Suginami City, Tokyo 168-0061, Japan",http://www.city.suginami.tokyo.jp/histmus/index.html,+81 3-3317-0841,,4,265,,https://lh5.googleusercontent.com/p/AF1QipO-9W7ghAGM1n9PipywAZvFF4kQwuRtL4gteQmZ=w138-h92-k-no,TRUE,Local history museum,"[
  ""Local history museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9 AM Wed,"{
  ""tuesday"": ""9 AM–5 PM"",
  ""wednesday"": ""9 AM–5 PM"",
  ""thursday"": ""9 AM–5 PM"",
  ""friday"": ""9 AM–5 PM"",
  ""saturday"": ""9 AM–5 PM"",
  ""sunday"": ""9 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJAT-cflnyGGARB6Rk86G2vTE,0x6018f2597e9c3f01:0x31bdb6a1f364a407,3584221685146231815,"{
  ""latitude"": 35.685916899999995,
  ""longitude"": 139.6454468
}"
4,Sculpture Atelier,"1 Chome-17-6 Gotenyama, Musashino, Tokyo 180-0005, Japan",https://www.tokyo-zoo.net/zoo/ino/,,,4.7,12,,https://lh5.googleusercontent.com/p/AF1QipO4bRbAD4gc4iRy3xFLuoeLYfNTOIUOn1FW4_bN=w122-h92-k-no,TRUE,Sculpture museum,"[
  ""Sculpture museum""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–4:30 PM"",
  ""wednesday"": ""9:30 AM–4:30 PM"",
  ""thursday"": ""9:30 AM–4:30 PM"",
  ""friday"": ""9:30 AM–4:30 PM"",
  ""saturday"": ""9:30 AM–4:30 PM"",
  ""sunday"": ""9:30 AM–4:30 PM"",
  ""monday"": ""Closed""
}",ChIJ1_PKuEruGGARRfw4nrEGHDU,0x6018ee4ab8caf3d7:0x351c06b19e38fc45,3826941143291591749,"{
  ""latitude"": 35.6997971,
  ""longitude"": 139.5696875
}"
5,Kichijōji Art Museum,"Japan, 〒180-0004 Tokyo, Musashino, Kichijoji Honcho, 1 Chome−8−16, コピス吉祥寺A館 7F",https://www.musashino.or.jp/museum/,+81 422-22-0385,,4.1,221,,https://lh5.googleusercontent.com/p/AF1QipO2oSgcQcYytBuNSlKmk1PkyORjBufEw09SvIcy=w163-h92-k-no,TRUE,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–7:30 PM"",
  ""wednesday"": ""10 AM–7:30 PM"",
  ""thursday"": ""10 AM–7:30 PM"",
  ""friday"": ""10 AM–7:30 PM"",
  ""saturday"": ""10 AM–7:30 PM"",
  ""sunday"": ""10 AM–7:30 PM"",
  ""monday"": ""10 AM–7:30 PM""
}",ChIJH9Fl00fuGGARnTG8b4_-Bng,0x6018ee47d365d11f:0x7806fe8f6fbc319d,8648880026419999133,"{
  ""latitude"": 35.7050207,
  ""longitude"": 139.57897939999998
}"
6,Provincial Museum annex,"3 Chome-23-1 Amanuma, Suginami City, Tokyo 167-0032, Japan",http://www.city.suginami.tokyo.jp/shisetsu/bunka/hakubutsukan/1007013.html,+81 3-5347-9801,,3.7,107,,https://lh5.googleusercontent.com/p/AF1QipOicxG0kjLbtnykmxOlFAyvYCbtJbLI55Kaz28p=w122-h92-k-no,TRUE,Local history museum,"[
  ""Local history museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9 AM Wed,"{
  ""tuesday"": ""9 AM–5 PM"",
  ""wednesday"": ""9 AM–5 PM"",
  ""thursday"": ""9 AM–5 PM"",
  ""friday"": ""9 AM–5 PM"",
  ""saturday"": ""9 AM–5 PM"",
  ""sunday"": ""9 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJjX_NQ_DtGGARZ8T4LuO2b0Y,0x6018edf043cd7f8d:0x466fb6e32ef8c467,5075476391931724903,"{
  ""latitude"": 35.708867399999995,
  ""longitude"": 139.6212081
}"
7,Tokyo Art Museum,"1 Chome-２５-1 Sengawacho, Chofu, Tokyo 182-0002, Japan",http://www.tokyoartmuseum.com/,+81 3-3305-8686,,4.1,62,,https://lh5.googleusercontent.com/p/AF1QipP8LEuUkN3Yo4fFW5poQ2ZT3zMD0Wk_mRJ-5YfW=w122-h92-k-no,TRUE,Art museum,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 11 AM Thu,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""Closed"",
  ""thursday"": ""11 AM–6 PM"",
  ""friday"": ""11 AM–6 PM"",
  ""saturday"": ""11 AM–6 PM"",
  ""sunday"": ""11 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJn-VLO73xGGARjQnHXH7u7Rc,0x6018f1bd3b4be59f:0x17edee7e5cc7098d,1724296458842605965,"{
  ""latitude"": 35.6607711,
  ""longitude"": 139.58721269999998
}"
8,Sculpture Museum House B,"1 Chome-17-6 Gotenyama, Musashino, Tokyo 180-0005, Japan",https://www.tokyo-zoo.net/zoo/ino/,+81 422-46-1100,,4.4,22,,https://lh5.googleusercontent.com/p/AF1QipOK6rxbcuMUsmD7vxKFyeTf799jSyXavmIeZsLL=w122-h92-k-no,TRUE,Sculpture museum,"[
  ""Sculpture museum""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–4:30 PM"",
  ""wednesday"": ""9:30 AM–4:30 PM"",
  ""thursday"": ""9:30 AM–4:30 PM"",
  ""friday"": ""9:30 AM–4:30 PM"",
  ""saturday"": ""9:30 AM–4:30 PM"",
  ""sunday"": ""9:30 AM–4:30 PM"",
  ""monday"": ""Closed""
}",ChIJe4Tx0EruGGARGk2w2pSeUos,0x6018ee4ad0f1847b:0x8b529e94dab04d1a,10039260881523592474,"{
  ""latitude"": 35.7004721,
  ""longitude"": 139.5692051
}"
9,Setagaya Literary Museum,"1 Chome-10-10 Minamikarasuyama, Setagaya City, Tokyo 157-0062, Japan",http://www.setabun.or.jp/,+81 3-5374-9111,,4.3,1371,,https://lh5.googleusercontent.com/p/AF1QipOxO4aJ9oESfqZ8tljRMB2nHYkkkXxrZOcMuzj6=w137-h92-k-no,TRUE,Museum,"[
  ""Museum""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJj3AnkIfxGGAR9iYAWfmjqQI,0x6018f1879027708f:0x2a9a3f9590026f6,191864750475323126,"{
  ""latitude"": 35.6669245,
  ""longitude"": 139.6086785
}"
10,Seiyu Museum,"1 Chome-52-5 Sasazuka, Shibuya, Tokyo 151-0073, Japan",,,,5,4,,https://lh5.googleusercontent.com/p/AF1QipMtq4EdK4azSZBSpjsfAKydo99Hq9S6wJzIXsfE=w80-h106-k-no,TRUE,Museum,"[
  ""Museum""
]",,,,ChIJh_lEQwDzGGAR4TOh2z34i-E,0x6018f3004344f987:0xe18bf83ddba133e1,16252356624858035169,"{
  ""latitude"": 35.6751001,
  ""longitude"": 139.6707612
}"
