position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,Edo-Tokyo Museum,"1 Chome-4-1 Yokoami, Sumida City, Tokyo 130-0015, Japan",https://www.edo-tokyo-museum.or.jp/,+81 3-3626-9974,,4.4,12658,,https://lh5.googleusercontent.com/p/AF1QipPsiAnAWUkQtmZmCGgMxaaszcZASrZpCtjnW223=w122-h92-k-no,,History museum,"[
  ""History museum"",
  ""Cultural institution"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM,"{
  ""tuesday"": ""9:30 AM–5:30 PM"",
  ""wednesday"": ""9:30 AM–5:30 PM"",
  ""thursday"": ""9:30 AM–5:30 PM"",
  ""friday"": ""9:30 AM–5:30 PM"",
  ""saturday"": ""Closed"",
  ""sunday"": ""Closed"",
  ""monday"": ""9:30 AM–5:30 PM""
}",ChIJOWXu4TSJGGAR07vEEi8fZAw,0x60188934e1ee6539:0xc641f2f12c4bbd3,892872913165007827,"{
  ""latitude"": 35.6965972,
  ""longitude"": 139.7957336
}"
2,Tokyo National Museum,"13-9 Uenokoen, Taito City, Tokyo 110-8712, Japan",https://www.tnm.jp/,+81 50-5541-8600,,4.5,25962,,https://lh5.googleusercontent.com/p/AF1QipMrcT0XMplJouURT1a7ECLpU731Z9hOZML5CBX7=w163-h92-k-no,,National museum,"[
  ""National museum"",
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–8 PM"",
  ""saturday"": ""9:30 AM–8 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""9:30 AM–5 PM""
}",ChIJEX3XFIOOGGAR3XdJvRjWLyM,0x60188e8314d77d11:0x232fd618bd4977dd,2535480516976146397,"{
  ""latitude"": 35.7188351,
  ""longitude"": 139.7765215
}"
3,National Museum of Nature and Science,"7-20 Uenokoen, Taito City, Tokyo 110-8718, Japan",https://www.kahaku.go.jp/,+81 50-5541-8600,,4.5,25487,,https://lh5.googleusercontent.com/p/AF1QipOleRyXypRL3ysh5B8hCcXIhF9Q1eZjANit_TVi=w122-h92-k-no,,Science museum,"[
  ""Science museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9 AM,"{
  ""tuesday"": ""9 AM–5 PM"",
  ""wednesday"": ""9 AM–5 PM"",
  ""thursday"": ""9 AM–5 PM"",
  ""friday"": ""9 AM–5 PM"",
  ""saturday"": ""9 AM–5 PM"",
  ""sunday"": ""9 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJ8Vuh65yOGGARyj4L5IBFiIk,0x60188e9ceba15bf1:0x89884580e40b3eca,9910247399912849098,"{
  ""latitude"": 35.7164273,
  ""longitude"": 139.7763336
}"
4,Tokyo Metro Museum,"東京メトロ東西線 葛西駅高架下, 6 Chome-3-1 Higashikasai, Edogawa City, Tokyo 134-0084, Japan",http://www.chikahaku.jp/,+81 3-3878-5011,,4.3,3258,,https://lh5.googleusercontent.com/p/AF1QipMquFIw9APLS6eNWTq_GcbSSeTRRl_X_E_bsgL7=w80-h106-k-no,TRUE,Rail museum,"[
  ""Rail museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM,"{
  ""tuesday"": ""10 AM–5 PM"",
  ""wednesday"": ""10 AM–5 PM"",
  ""thursday"": ""10 AM–5 PM"",
  ""friday"": ""10 AM–5 PM"",
  ""saturday"": ""10 AM–5 PM"",
  ""sunday"": ""10 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJ4ceO6vKHGGARufa4mF3NCgU,0x601887f2ea8ec7e1:0x50acd5d98b8f6b9,363328521834657465,"{
  ""latitude"": 35.6635668,
  ""longitude"": 139.8734375
}"
5,Museum of Contemporary Art Tokyo - MOT,"4 Chome-1-1 Miyoshi, Koto City, Tokyo 135-0022, Japan",https://www.mot-art-museum.jp/,+81 3-5245-4111,,4.4,3019,,https://lh5.googleusercontent.com/p/AF1QipPuVEyDx06-8HhqRAmDSpYQjXr6NoLDtnOSw4E3=w122-h92-k-no,,Modern art museum,"[
  ""Modern art museum"",
  ""Art museum"",
  ""Museum""
]",,Closed ⋅ Opens 10 AM,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJq6rq_BuJGGARh1qAooLX-as,0x6018891bfceaaaab:0xabf9d782a2805a87,12392172805758671495,"{
  ""latitude"": 35.679746699999995,
  ""longitude"": 139.80819209999999
}"
6,Urayasu City Folk Museum,"1 Chome-2-7 Nekozane, Urayasu, Chiba 279-0004, Japan",https://assarikunn.wixsite.com/website,+81 47-305-4300,,4.4,757,,https://lh5.googleusercontent.com/p/AF1QipMbEijM-vyCIdwpoCr9T-VHobRXqHwOMDobVPxE=w122-h92-k-no,TRUE,Local history museum,"[
  ""Local history museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–5 PM"",
  ""saturday"": ""9:30 AM–5 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJJZVPeZt9GGARMsRbSk0DsKo,0x60187d9b794f9525:0xaab0034d4a5bc432,12299334212843717682,"{
  ""latitude"": 35.655239099999996,
  ""longitude"": 139.9010925
}"
7,Fukagawa Edo Museum,"1 Chome-3-28 Shirakawa, Koto City, Tokyo 135-0021, Japan",https://www.kcf.or.jp/fukagawa/,+81 3-3630-8625,,4.3,2743,,https://lh5.googleusercontent.com/p/AF1QipM_Pzed9_h2sxW41v5DauKrc_lQHD-dFnnT5zNw=w138-h92-k-no,,Local history museum,"[
  ""Local history museum"",
  ""History museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–5 PM"",
  ""saturday"": ""9:30 AM–5 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJ05k3KRaJGGARSFT1UW8wxkw,0x60188916293799d3:0x4cc6306f51f55448,5532162446945768520,"{
  ""latitude"": 35.681185899999996,
  ""longitude"": 139.8005921
}"
8,Tokyo Port Museum,"2 Chome-4 Aomi, Koto City, Tokyo 135-0064, Japan",,,,4.6,5,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uJz-Bo7JFm4c08WQcocPfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=321.64426&pitch=0&thumbfov=100,TRUE,Museum,"[
  ""Museum""
]",,,,ChIJ47bIhUSJGGARCfLebt7FH6g,0x6018894485c8b6e3:0xa81fc5de6edef209,12114619081783439881,"{
  ""latitude"": 35.6176515,
  ""longitude"": 139.7782877
}"
9,The Sumida Hokusai Museum,"2 Chome-7-2 Kamezawa, Sumida City, Tokyo 130-0014, Japan",https://hokusai-museum.jp/,+81 3-6658-8936,,4.1,5530,,https://lh5.googleusercontent.com/p/AF1QipOauyNnEXR0h9b_OK5b4btjA4KdsaVrsz6ae_XR=w123-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM,"{
  ""tuesday"": ""9:30 AM–5:30 PM"",
  ""wednesday"": ""9:30 AM–5:30 PM"",
  ""thursday"": ""9:30 AM–5:30 PM"",
  ""friday"": ""9:30 AM–5:30 PM"",
  ""saturday"": ""9:30 AM–5:30 PM"",
  ""sunday"": ""9:30 AM–5:30 PM"",
  ""monday"": ""Closed""
}",ChIJgRjTtzOJGGARqoKBtB8BAno,0x60188933b7d31881:0x7a02011fb48182aa,8791590658264629930,"{
  ""latitude"": 35.6963313,
  ""longitude"": 139.800414
}"
10,Urayasu Town Open-Air Museum,"1 Chome-2 Nekozane, Urayasu, Chiba 279-0004, Japan",http://www.city.urayasu.lg.jp/kanko/kyodo/josetsu/1002071.html,,,4.6,14,,https://lh5.googleusercontent.com/p/AF1QipN-4MuqNauI9JyrFDAT-FegskepaExlZvW25X9I=w122-h92-k-no,TRUE,Museum,"[
  ""Museum""
]",,,,ChIJlRTdgZt9GGAR1uA9CymhNJs,0x60187d9b81dd1495:0x9b34a1290b3de0d6,11183740972322119894,"{
  ""latitude"": 35.654940599999996,
  ""longitude"": 139.9010687
}"
