position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,Meguro Parasitological Museum,"4 Chome-1-1 Shimomeguro, Meguro City, Tokyo 153-0064, Japan",https://www.kiseichu.org/,+81 3-3716-1264,,4.4,2312,,https://lh5.googleusercontent.com/p/AF1QipMyF39iMVir8qPZzjICZgHzuvOaus_6CqkD3EXh=w138-h92-k-no,,Museum of zoology,"[
  ""Museum of zoology"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""10 AM–5 PM"",
  ""thursday"": ""10 AM–5 PM"",
  ""friday"": ""10 AM–5 PM"",
  ""saturday"": ""10 AM–5 PM"",
  ""sunday"": ""10 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJJRmFiCOLGGARyLhUN8vGRXs,0x60188b2388851925:0x7b45c6cb3754b8c8,8882724416167131336,"{
  ""latitude"": 35.6316814,
  ""longitude"": 139.7066661
}"
2,Institute of Science Tokyo Museum and Archives,"2 Chome-12-1 Ookayama, Meguro City, Tokyo 152-0033, Japan",http://www.cent.titech.ac.jp/,+81 3-5734-3340,,4,63,,https://lh5.googleusercontent.com/p/AF1QipNtmaXkUf1Y5h6c-SocCgW558TEHjbgp2jvSiVq=w122-h92-k-no,TRUE,Technology museum,"[
  ""Technology museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10:30 AM Wed,"{
  ""tuesday"": ""10:30 AM–4:30 PM"",
  ""wednesday"": ""10:30 AM–4:30 PM"",
  ""thursday"": ""10:30 AM–4:30 PM"",
  ""friday"": ""10:30 AM–4:30 PM"",
  ""saturday"": ""Closed"",
  ""sunday"": ""Closed"",
  ""monday"": ""10:30 AM–4:30 PM""
}",ChIJgy0T6DH1GGARZArajB7poxc,0x6018f531e8132d83:0x17a3e91e8cda0a64,1703461401497569892,"{
  ""latitude"": 35.6068462,
  ""longitude"": 139.6848354
}"
3,Bunkamura,"2 Chome-24-1 Dogenzaka, Shibuya, Tokyo 150-8507, Japan",https://www.bunkamura.co.jp/,+81 3-3477-9111,,4.1,5362,,https://lh5.googleusercontent.com/p/AF1QipNWM4N9xobe0UKuN0JTjUJT0Chq-KqWvMrWzbqm=w137-h92-k-no,,Art center,"[
  ""Art center"",
  ""Art museum"",
  ""Fairground"",
  ""Philharmonic hall"",
  ""Tourist attraction""
]",,,,ChIJLy2X3KuMGGARyxodVmR8Y5U,0x60188cabdc972d2f:0x95637c64561d1acb,10764584304728939211,"{
  ""latitude"": 35.660664,
  ""longitude"": 139.6950525
}"
4,Tokyo Metropolitan Teien Art Museum,"5 Chome-21-9 Shirokanedai, Minato City, Tokyo 108-0071, Japan",https://www.teien-art-museum.ne.jp/,+81 50-5541-8600,,4.4,4060,,https://lh5.googleusercontent.com/p/AF1QipNvzvvtSl6eTV0fHa6tVjxqaGLC2q0nvZ3mi7b_=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJQS7vBxuLGGAR-Grk6oJ8etw,0x60188b1b07ef2e41:0xdc7a7c82eae46af8,15887147537231276792,"{
  ""latitude"": 35.6369465,
  ""longitude"": 139.7190408
}"
5,Chikyushi Museum,"1 Chome-1 Ishikawacho, Ota City, Tokyo 145-0061, Japan",http://www.mue.titech.ac.jp/index.html,+81 3-5734-3787,,5,1,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4iCQjtdT3lD7m0cNey_Abw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=106.87211&pitch=0&thumbfov=100,TRUE,Museum,"[
  ""Museum""
]",,Closed ⋅ Opens 1:30 PM Thu,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""Closed"",
  ""thursday"": ""1:30–4:30 PM"",
  ""friday"": ""Closed"",
  ""saturday"": ""Closed"",
  ""sunday"": ""Closed"",
  ""monday"": ""Closed""
}",ChIJncaGGJv1GGARDHa4GYdPp8k,0x6018f59b1886c69d:0xc9a74f8719b8760c,14530670164404893196,"{
  ""latitude"": 35.601635,
  ""longitude"": 139.68420609999998
}"
6,Meguro Museum of Art,"2 Chome-4-36 Meguro, Meguro City, Tokyo 153-0063, Japan",https://www.mmat.jp/,+81 3-3714-1201,,4,577,,https://lh5.googleusercontent.com/p/AF1QipMEHUr5hZtW4Swg2D7sFknVDawynhQHDG_xb10Q=w163-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""10 AM–6 PM""
}",ChIJq89_SiOLGGARNfbenIKLrPU,0x60188b234a7fcfab:0xf5ac8b829cdef635,17702677628380444213,"{
  ""latitude"": 35.6348759,
  ""longitude"": 139.7077219
}"
7,Setagaya Art Museum,"1-2 Kinutakoen, Setagaya City, Tokyo 157-0075, Japan",http://www.setagayaartmuseum.or.jp/,+81 3-3415-6011,,4.2,1956,,https://lh5.googleusercontent.com/p/AF1QipOAuQr3GtojvNf7SK3hdXkeTitPgt1rQ-irtrHP=w80-h106-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–6 PM"",
  ""wednesday"": ""10 AM–6 PM"",
  ""thursday"": ""10 AM–6 PM"",
  ""friday"": ""10 AM–6 PM"",
  ""saturday"": ""10 AM–6 PM"",
  ""sunday"": ""10 AM–6 PM"",
  ""monday"": ""Closed""
}",ChIJtSLaI_fzGGAR8w5sxx-9PR4,0x6018f3f723da22b5:0x1e3dbd1fc76c0ef3,2179105738904571635,"{
  ""latitude"": 35.6314396,
  ""longitude"": 139.622121
}"
8,Tokyo Port Museum,"2 Chome-4 Aomi, Koto City, Tokyo 135-0064, Japan",,,,4.6,5,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uJz-Bo7JFm4c08WQcocPfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=321.64426&pitch=0&thumbfov=100,TRUE,Museum,"[
  ""Museum""
]",,,,ChIJ47bIhUSJGGARCfLebt7FH6g,0x6018894485c8b6e3:0xa81fc5de6edef209,12114619081783439881,"{
  ""latitude"": 35.6176515,
  ""longitude"": 139.7782877
}"
9,Star Museum,"2 Chome-8-31 Hisamoto, Takatsu Ward, Kawasaki, Kanagawa 213-0011, Japan",,+81 44-888-1918,,4.5,6,,https://lh5.googleusercontent.com/p/AF1QipPv7zLqlrLpoBHVBRPJ1EyDbqroxIeTkX9dR8Vo=w122-h92-k-no,TRUE,Art museum,"[
  ""Art museum""
]",,Closed ⋅ Opens 11 AM Wed,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""11 AM–6 PM"",
  ""thursday"": ""11 AM–6 PM"",
  ""friday"": ""11 AM–6 PM"",
  ""saturday"": ""11 AM–6 PM"",
  ""sunday"": ""11 AM–6 PM"",
  ""monday"": ""11 AM–6 PM""
}",ChIJPQpzkyj0GGARjm5QcJD_hgA,0x6018f42893730a3d:0x86ff9070506e8e,37998642703920782,"{
  ""latitude"": 35.595893,
  ""longitude"": 139.61293999999998
}"
10,Hasegawa Machiko Memorial Museum of Art,"1 Chome-30-6 Sakurashinmachi, Setagaya City, Tokyo 154-0015, Japan",http://www.hasegawamachiko.jp/,+81 3-3701-8766,,4,853,,https://lh5.googleusercontent.com/p/AF1QipO98uLIY21SiDJ7AvR559Ii8R33QXP2YY-Cgwpf=w122-h92-k-no,TRUE,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–5:30 PM"",
  ""wednesday"": ""10 AM–5:30 PM"",
  ""thursday"": ""10 AM–5:30 PM"",
  ""friday"": ""10 AM–5:30 PM"",
  ""saturday"": ""10 AM–5:30 PM"",
  ""sunday"": ""10 AM–5:30 PM"",
  ""monday"": ""Closed""
}",ChIJn1OyNnv0GGARugBnW7sKi8s,0x6018f47b36b2539f:0xcb8b0abb5b6700ba,14666828411270791354,"{
  ""latitude"": 35.6279581,
  ""longitude"": 139.643655
}"
