position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,Rokucho Museum Flora,"2 Chome-5-35 Rokucho, Adachi City, Tokyo 121-0073, Japan",http://rokucho-museum.sakura.ne.jp/,+81 3-3885-7333,,4.1,100,,https://lh5.googleusercontent.com/p/AF1QipP4HSTpC1yYUoC2HSLnKRFzT6LwPHwXfBzloFyz=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 11 AM Wed,"{
  ""tuesday"": ""11 AM–5 PM"",
  ""wednesday"": ""11 AM–5 PM"",
  ""thursday"": ""11 AM–5 PM"",
  ""friday"": ""11 AM–5 PM"",
  ""saturday"": ""11 AM–5 PM"",
  ""sunday"": ""Closed"",
  ""monday"": ""Closed""
}",ChIJlXmHnymQGGARtX9QMNgdoxc,0x601890299f877995:0x17a31dd830507fb5,1703237898436902837,"{
  ""latitude"": 35.783260399999996,
  ""longitude"": 139.8200865
}"
2,Tokyo National Museum,"13-9 Uenokoen, Taito City, Tokyo 110-8712, Japan",https://www.tnm.jp/,+81 50-5541-8600,,4.5,25965,,https://lh5.googleusercontent.com/p/AF1QipMrcT0XMplJouURT1a7ECLpU731Z9hOZML5CBX7=w163-h92-k-no,,National museum,"[
  ""National museum"",
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–8 PM"",
  ""saturday"": ""9:30 AM–8 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""9:30 AM–5 PM""
}",ChIJEX3XFIOOGGAR3XdJvRjWLyM,0x60188e8314d77d11:0x232fd618bd4977dd,2535480516976146397,"{
  ""latitude"": 35.7188351,
  ""longitude"": 139.7765215
}"
3,SAMURAI NINJA MUSEUM Samurai Museum,"1 Chome-8-13 Nishiasakusa, Taito City, Tokyo 111-0035, Japan",https://mai-ko.com/samurai/,+81 3-5830-3888,,4.9,8465,,https://lh5.googleusercontent.com/p/AF1QipOYSQBJ9jW5_69UJSFicimf5gSlZkYi2shIFo_W=w122-h92-k-no,,Museum,"[
  ""Museum""
]",,Open ⋅ Closes 7 PM,"{
  ""tuesday"": ""9 AM–7 PM"",
  ""wednesday"": ""9 AM–7 PM"",
  ""thursday"": ""9 AM–7 PM"",
  ""friday"": ""9 AM–7 PM"",
  ""saturday"": ""9 AM–7 PM"",
  ""sunday"": ""9 AM–7 PM"",
  ""monday"": ""9 AM–7 PM""
}",ChIJm6kfD4IJAWAR8e9bSVIKXXc,0x600109820f1fa99b:0x775d0a52495beff1,8601042211881873393,"{
  ""latitude"": 35.7115072,
  ""longitude"": 139.7917803
}"
4,National Museum of Nature and Science,"7-20 Uenokoen, Taito City, Tokyo 110-8718, Japan",https://www.kahaku.go.jp/,+81 50-5541-8600,,4.5,25491,,https://lh5.googleusercontent.com/p/AF1QipOleRyXypRL3ysh5B8hCcXIhF9Q1eZjANit_TVi=w122-h92-k-no,,Science museum,"[
  ""Science museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9 AM Wed,"{
  ""tuesday"": ""9 AM–5 PM"",
  ""wednesday"": ""9 AM–5 PM"",
  ""thursday"": ""9 AM–5 PM"",
  ""friday"": ""9 AM–5 PM"",
  ""saturday"": ""9 AM–5 PM"",
  ""sunday"": ""9 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJ8Vuh65yOGGARyj4L5IBFiIk,0x60188e9ceba15bf1:0x89884580e40b3eca,9910247399912849098,"{
  ""latitude"": 35.7164273,
  ""longitude"": 139.7763336
}"
5,Tabata Memorial Museum of Writers and Artists,"6 Chome-1-2 Tabata, Kita City, Tokyo 114-0014, Japan",http://www.kitabunka.or.jp/tabata/,+81 3-5685-5171,,4,196,,https://lh5.googleusercontent.com/p/AF1QipOrhtOD0oJZJh21LWFXFYWxyKapB0GqQjHsfDC8=w163-h92-k-no,TRUE,Heritage museum,"[
  ""Heritage museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 10 AM Wed,"{
  ""tuesday"": ""10 AM–5 PM"",
  ""wednesday"": ""10 AM–5 PM"",
  ""thursday"": ""10 AM–5 PM"",
  ""friday"": ""10 AM–5 PM"",
  ""saturday"": ""10 AM–5 PM"",
  ""sunday"": ""10 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJYRf-2OmNGGARqPe-qSMrZv0,0x60188de9d8fe1761:0xfd662b23a9bef7a8,18259329171391969192,"{
  ""latitude"": 35.7384181,
  ""longitude"": 139.7593295
}"
6,Japanese Gallery (Honkan),"Japan, 〒110-0007 Tokyo, Taito City, Uenokoen, 13−9, 東京国立博物館内",https://www.tnm.jp/,,,4.6,230,,https://lh5.googleusercontent.com/p/AF1QipPxrSJ02YNmzC7MbjzjRQryaeiEtbi4mWvhYAcI=w122-h92-k-no,TRUE,National museum,"[
  ""National museum""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–5 PM"",
  ""saturday"": ""9:30 AM–5 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJm21G1NePGGARvfV_vJoGAA0,0x60188fd7d4466d9b:0xd00069abc7ff5bd,936755984150295997,"{
  ""latitude"": 35.718623,
  ""longitude"": 139.7762726
}"
7,TOMO City Museum of Art,"2 Chome-6-3 Bunka, Sumida City, Tokyo 131-0044, Japan",https://tomotosi.com/tomo-museum/,+81 80-3057-9642,,4.6,11,,https://lh5.googleusercontent.com/p/AF1QipM_vqxstjbgYi7XvwY0ykxrE2Cip5qWBdCreXZS=w122-h92-k-no,,Art museum,"[
  ""Art museum""
]",,,,ChIJERWRTAzuGGARln6Er5w_Eas,0x6018ee0c4c911511:0xab113f9caf847e96,12326703597281902230,"{
  ""latitude"": 35.70933,
  ""longitude"": 139.82636779999999
}"
8,Tokyo National Museum Toyokan (Asian Gallery),"13-9 Uenokoen, Taito City, Tokyo 110-8712, Japan",https://www.tnm.jp/modules/r_exhibition/index.php?controller=hall&hid=13&lang=ja,+81 3-5777-8600,,4.5,1857,,https://lh5.googleusercontent.com/p/AF1QipMoF53l7ZFYAGjWW6_rMFEy04o0b12hMLk1krZ8=w163-h92-k-no,TRUE,National museum,"[
  ""National museum""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–5 PM"",
  ""wednesday"": ""9:30 AM–5 PM"",
  ""thursday"": ""9:30 AM–5 PM"",
  ""friday"": ""9:30 AM–5 PM"",
  ""saturday"": ""9:30 AM–5 PM"",
  ""sunday"": ""9:30 AM–5 PM"",
  ""monday"": ""Closed""
}",ChIJwzFPtZyOGGAR6ivVPPsknbk,0x60188e9cb54f31c3:0xb99d24fb3cd52bea,13374887129836235754,"{
  ""latitude"": 35.7180264,
  ""longitude"": 139.7767237
}"
9,The National Museum of Western Art,"7-7 Uenokoen, Taito City, Tokyo 110-0007, Japan",https://www.nmwa.go.jp/jp/,+81 50-5541-8600,,4.5,9783,,https://lh5.googleusercontent.com/p/AF1QipPXCjSu_ADOauFMOM7btPWhGK3BPBtGwXLWjqn5=w122-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""9:30 AM–5:30 PM"",
  ""wednesday"": ""9:30 AM–5:30 PM"",
  ""thursday"": ""9:30 AM–5:30 PM"",
  ""friday"": ""9:30 AM–8 PM"",
  ""saturday"": ""9:30 AM–8 PM"",
  ""sunday"": ""9:30 AM–5:30 PM"",
  ""monday"": ""Closed""
}",ChIJf8xB-pyOGGARizzhlNTcI7s,0x60188e9cfa41cc7f:0xbb23dcd494e13c8b,13484864514866363531,"{
  ""latitude"": 35.7153869,
  ""longitude"": 139.77581379999998
}"
10,Tokyo Metropolitan Art Museum,"8-36 Uenokoen, Taito City, Tokyo 110-0007, Japan",https://www.tobikan.jp/,+81 3-3823-6921,,4.2,14269,,https://lh5.googleusercontent.com/p/AF1QipO92mO2FNJSJWtN7N7h8fiD2fEbAlkvVJOaoBY8=w80-h92-k-no,,Art museum,"[
  ""Art museum"",
  ""Museum"",
  ""Tourist attraction""
]",,Closed ⋅ Opens 9:30 AM Wed,"{
  ""tuesday"": ""Closed"",
  ""wednesday"": ""9:30 AM–5:30 PM"",
  ""thursday"": ""9:30 AM–5:30 PM"",
  ""friday"": ""9:30 AM–5:30 PM"",
  ""saturday"": ""9:30 AM–5:30 PM"",
  ""sunday"": ""9:30 AM–5:30 PM"",
  ""monday"": ""Closed""
}",ChIJb_o7HiiMGGARUKu8uO7fGIQ,0x60188c281e3bfa6f:0x8418dfeeb8bcab50,9518604028842126160,"{
  ""latitude"": 35.717211299999995,
  ""longitude"": 139.7729387
}"
