position,title,address,website,phone,order_online,rating,reviews,price,thumbnail,unclaimed_listing,type,types,service_options,hours,operating_hours,place_id,data_id,data_cid,gps_coordinates
1,Gotemba Premium Outlets,"1312 Fukasawa, Gotemba, Shizuoka 412-0023, Japan",https://www.premiumoutlets.co.jp/gotemba/,+81 550-81-3122,,4.1,25908,,https://lh5.googleusercontent.com/p/AF1QipPUqKaoTbZOaSQakmI5pOIhU3-gdBE1_wuLGU5L=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall""
]","{
  ""in_store_shopping"": true,
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""10 AM–7 PM"",
  ""monday"": ""10 AM–7 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–7 PM"",
  ""thursday"": ""10 AM–7 PM"",
  ""friday"": ""10 AM–7 PM""
}",ChIJ1xlIF991GWARhCPTCES1sFA,0x601975df174819d7:0x50b0b54408d32384,5814346422745768836,"{
  ""latitude"": 35.3067588,
  ""longitude"": 138.96206859999998
}"
2,Mitsui Outlet Park Yokohama Bayside,"5-2 Shiraho, Kanazawa Ward, Yokohama, Kanagawa 236-8666, Japan",https://mitsui-shopping-park.com/mop/yokohama/,+81 45-775-4446,,3.9,7312,,https://lh5.googleusercontent.com/p/AF1QipPuHKOcq7M19pNDpOup81yDvD-LjijOEa95PzPq=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJG3bGCKpDGGARfz9tmtdh7mQ,0x601843aa08c6761b:0x64ee61d79a6d3f7f,7272858026886643583,"{
  ""latitude"": 35.379899099999996,
  ""longitude"": 139.6464076
}"
3,Mitsui Outlet Park Makuhari,"2 Chome-６-1 Hibino, Mihama Ward, Chiba, 261-0021, Japan",https://mitsui-shopping-park.com/mop/makuhari/,+81 43-212-8200,,3.8,9253,,https://lh5.googleusercontent.com/p/AF1QipNDC1UiasvU_QM5X3PRqH5epUjRlIkIPJ1GRSXV=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJ__9vix-CImARLs7fd64mSY4,0x6022821f8b6fffff:0x8e4926ae77dfce2e,10252768557462965806,"{
  ""latitude"": 35.6472857,
  ""longitude"": 140.0413817
}"
4,Shisui Premium Outlets,"2 Chome-4-1 Iizumi, Shisui, Inba District, Chiba 285-0912, Japan",https://www.premiumoutlets.co.jp/shisui/,+81 43-481-6160,,3.9,12394,,https://lh5.googleusercontent.com/p/AF1QipM3C6vGmqPQICiO8FT23UX10qxWDMeUIRW_YW5s=w163-h92-k-no,,Outlet mall,"[
  ""Outlet mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""10 AM–7 PM"",
  ""monday"": ""10 AM–7 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–7 PM"",
  ""thursday"": ""10 AM–7 PM"",
  ""friday"": ""10 AM–7 PM""
}",ChIJmce_rE2MImARZ6Af3gqiDow,0x60228c4dacbfc799:0x8c0ea20ade1fa067,10092181982543847527,"{
  ""latitude"": 35.7132177,
  ""longitude"": 140.29402009999998
}"
5,Mitsui Outlet Park Kisarazu,"3 Chome-１-1 Kanedahigashi, Kisarazu, Chiba 292-0009, Japan",https://mitsui-shopping-park.com/mop/kisarazu/,+81 438-38-6100,,4,15674,$$,https://lh5.googleusercontent.com/p/AF1QipPFLi3gTvR7lK-KrRm6AFz3tf0byriqDZbg211a=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJL6_Sv4lzGGARwjaD7LL2agk,0x60187389bfd2af2f:0x96af6b2ec8336c2,678625942205314754,"{
  ""latitude"": 35.4340459,
  ""longitude"": 139.9344002
}"
6,Sano Premium Outlets,"2058 Koenacho, Sano, Tochigi 327-0822, Japan",https://www.premiumoutlets.co.jp/sano/,+81 283-20-5800,,3.9,13032,,https://lh5.googleusercontent.com/p/AF1QipMo6U3rn826dWxaX-gieZ7oTHJftOuQ7wcU74a5=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""10 AM–7 PM"",
  ""monday"": ""10 AM–7 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–7 PM"",
  ""thursday"": ""10 AM–7 PM"",
  ""friday"": ""10 AM–7 PM""
}",ChIJVVU5Ii1HH2ARuJlcT0IR768,0x601f472d22395555:0xafef11424f5c99b8,12677370452568218040,"{
  ""latitude"": 36.2930054,
  ""longitude"": 139.6048892
}"
7,Ami Premium Outlets,"4 Chome-1-1 Yoshiwara, Ami, Inashiki District, Ibaraki 300-1161, Japan",https://www.premiumoutlets.co.jp/ami/,+81 29-829-5770,,3.8,9261,,https://lh5.googleusercontent.com/p/AF1QipPWPD58qcXUO65-ouY1Xwo908fXbt3U0epPshKr=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–7 PM"",
  ""sunday"": ""10 AM–7 PM"",
  ""monday"": ""10 AM–7 PM"",
  ""tuesday"": ""10 AM–7 PM"",
  ""wednesday"": ""10 AM–7 PM"",
  ""thursday"": ""10 AM–7 PM"",
  ""friday"": ""10 AM–7 PM""
}",ChIJlaHxfB1vImARsT8Kd2n3xuk,0x60226f1d7cf1a195:0xe9c6f769770a3fb1,16845423488566706097,"{
  ""latitude"": 35.9836814,
  ""longitude"": 140.23829849999998
}"
8,Mitsui Outlet Park Iruma,"3169-1 Miyadera, Iruma, Saitama 358-8515, Japan",https://mitsui-shopping-park.com/mop/iruma/,+81 4-2935-1616,,3.8,10863,,https://lh5.googleusercontent.com/p/AF1QipPRUhgBSSLXxBL8tB8gUYC-iZxw5bugLVcjaS8o=w92-h92-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJAzF_G0TfGGARW4ab9JKEkFg,0x6018df441b7f3103:0x58908492f49b865b,6381746438687917659,"{
  ""latitude"": 35.810345399999996,
  ""longitude"": 139.3802642
}"
9,MITSUI OUTLET PARK Tama Minami-Osawa,"1 Chome-600 Minamiosawa, Hachioji, Tokyo 192-0364, Japan",https://mitsui-shopping-park.com/mop/tama/,+81 42-670-5777,,3.8,7101,,https://lh5.googleusercontent.com/p/AF1QipPX0xNwxB9vm3UJsFewd8D1-Su1kRN9rZQsBZgy=w80-h106-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJSwCqHLviGGARQMrVRYbZqCg,0x6018e2bb1caa004b:0x28a8d98645d5ca40,2929830728324991552,"{
  ""latitude"": 35.6150793,
  ""longitude"": 139.3783724
}"
10,AEON LakeTown OUTLET,"4 Chome-1-1 Lake Town, Koshigaya, Saitama 343-0828, Japan",http://laketown-outlet.jp/?utm_source=google_maps&utm_medium=organic&utm_campaign=website,+81 48-940-0700,,3.9,6990,,https://lh5.googleusercontent.com/p/AF1QipMR0HAog6bdFXA3sxjQSogMgkwEWftKozx_7uCx=w122-h92-k-no,,Outlet mall,"[
  ""Outlet mall"",
  ""Shopping mall""
]","{
  ""in_store_shopping"": true,
  ""onsite_services"": true
}",Closed ⋅ Opens 10 AM,"{
  ""saturday"": ""10 AM–8 PM"",
  ""sunday"": ""10 AM–8 PM"",
  ""monday"": ""10 AM–8 PM"",
  ""tuesday"": ""10 AM–8 PM"",
  ""wednesday"": ""10 AM–8 PM"",
  ""thursday"": ""10 AM–8 PM"",
  ""friday"": ""10 AM–8 PM""
}",ChIJmyj7mhmXGGARFFrzY5Ovtt4,0x601897199afb289b:0xdeb6af9363f35a14,16048207369753287188,"{
  ""latitude"": 35.8808758,
  ""longitude"": 139.8247389
}"
